dataset,label,metric,series,mean_spearman,n_runs
livecodebench_v5,correct,entropy,abs_d1,-0.08063907164848984,6273
livecodebench_v5,correct,entropy,abs_d2,-0.06752274186670741,6273
livecodebench_v5,correct,entropy,avg,-0.34177510016383056,6273
livecodebench_v5,correct,entropy,d1,-0.15466919852882752,6273
livecodebench_v5,correct,entropy,d2,-0.05857353900307493,6273
livecodebench_v5,correct,gini,abs_d1,-0.06597788196514784,6273
livecodebench_v5,correct,gini,abs_d2,-0.055982941526161054,6273
livecodebench_v5,correct,gini,avg,0.3492358135500096,6273
livecodebench_v5,correct,gini,d1,0.15691574299309707,6273
livecodebench_v5,correct,gini,d2,0.05822554251001584,6273
livecodebench_v5,incorrect,conf,abs_d1,-0.06324252322469139,4415
livecodebench_v5,incorrect,conf,abs_d2,-0.050916054714315574,4415
livecodebench_v5,incorrect,conf,avg,0.20542165421825898,4415
livecodebench_v5,incorrect,conf,d1,0.12736727421048855,4415
livecodebench_v5,incorrect,conf,d2,0.04295018949972963,4415
livecodebench_v5,incorrect,entropy,abs_d1,-0.06879605108765675,4415
livecodebench_v5,incorrect,entropy,abs_d2,-0.055759947354888845,4415
livecodebench_v5,incorrect,entropy,avg,-0.3304062464359535,4415
livecodebench_v5,incorrect,entropy,d1,-0.1612677798342113,4415
livecodebench_v5,incorrect,entropy,d2,-0.061580658372600655,4415
livecodebench_v5,incorrect,gini,abs_d1,-0.05499242878484606,4415
livecodebench_v5,incorrect,gini,abs_d2,-0.04495464809127576,4415
livecodebench_v5,incorrect,gini,avg,0.33793585554736977,4415
livecodebench_v5,incorrect,gini,d1,0.16392356564470506,4415
livecodebench_v5,incorrect,gini,d2,0.06154726916024514,4415
