method_id,comparison_type,domain,anchor_from_pct,anchor_to_pct,feature,channel,family,w_from,w_to,sign_consistent,cosine_sim,weight_ratio
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_neg_entropy,raw,availability_meta,4.448150056678418e-20,1.3133045885121557e-20,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_selfcert,rank,availability_meta,-0.0029343552924467942,0.011132917564068706,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,has_tok_selfcert,raw,availability_meta,-1.431369919460958e-19,-1.7977107285712485e-22,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_conf_prefix,rank,confidence,0.18852212124261455,-0.05579088196038967,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_conf_prefix,raw,confidence,0.14237514804211135,0.04816176259052673,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_conf_recency,rank,confidence,0.19477138030906913,-0.05981145182172483,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_conf_recency,raw,confidence,0.15080354408310448,0.05048783061275255,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_gini_prefix,rank,uncertainty,-0.03792647029598227,0.0059701498019388895,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_gini_prefix,raw,uncertainty,-0.292165996252303,0.04719401335234072,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_gini_slope,rank,uncertainty,-0.08138558248074397,-0.162777030619212,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_gini_slope,raw,uncertainty,0.08181509505955685,1.5318732998145794,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_gini_tail,rank,uncertainty,0.15089056107090681,-0.05923925333161303,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_gini_tail,raw,uncertainty,-1.6690216803390483,0.3625173323598687,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_logprob_prefix,rank,self_cert_logprob,-0.11092167144064057,0.020730109124027833,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_logprob_prefix,raw,self_cert_logprob,-0.7283513717099414,-0.2939576122952075,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_logprob_recency,rank,self_cert_logprob,-0.09293218689212494,0.015155942885024901,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_logprob_recency,raw,self_cert_logprob,-0.7333423044835689,-0.2827926208977407,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_neg_entropy_prefix,rank,uncertainty,-0.007539911324712483,0.005076189131289289,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_neg_entropy_prefix,raw,uncertainty,-0.5341881752572408,0.02263338578703762,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_neg_entropy_recency,rank,uncertainty,-0.007025697983303018,-0.0015508702222580032,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_neg_entropy_recency,raw,uncertainty,-0.5356915866402909,0.03412519271916596,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_selfcert_prefix,rank,self_cert_logprob,-0.007539911324712483,0.005076189131289289,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_selfcert_prefix,raw,self_cert_logprob,-0.5341881752572543,0.022633385787037538,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_selfcert_recency,rank,self_cert_logprob,-0.007025697983303018,-0.0015508702222580032,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,tok_selfcert_recency,raw,self_cert_logprob,-0.5356915866403504,0.03412519271916591,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_continuity,rank,trajectory,-1.5810496811319161,-0.06635983097124834,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_continuity,raw,trajectory,49.140744210270476,2.033652169494051,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_late_convergence,rank,trajectory,0.06861927430652652,-0.10364336897606159,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_late_convergence,raw,trajectory,0.10995644203329626,0.06082629995812296,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_max_reflection,rank,trajectory,1.6317286211681779,-0.05460498510578397,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_max_reflection,raw,trajectory,-6.907166945718565,0.27888775214349604,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_novelty,rank,trajectory,-0.7405479238373103,0.022557350043103955,False,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_novelty,raw,trajectory,-45.82528330327998,-0.09600361637000603,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_reflection_count,rank,trajectory,-1.6787475214109124,-0.08184706657924383,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,40,40,traj_reflection_count,raw,trajectory,0.0731989107673934,0.0025758750535586714,True,0.5744198605150207,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_rows_bank,rank,availability_meta,-0.025788135872603087,0.008415514991916475,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_rows_bank,raw,availability_meta,-6.195804949255342e-22,1.1698665026944276e-23,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_conf,rank,availability_meta,-0.02578813587260311,0.008415514991916475,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_conf,raw,availability_meta,-8.143140611857426e-17,-7.76302599138604e-19,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_gini,rank,availability_meta,-0.02578813587260311,0.008415514991916475,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_gini,raw,availability_meta,-2.385158082255061e-18,1.0904421840964472e-18,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_logprob,rank,availability_meta,-0.02578813587260344,0.00841551499191648,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_logprob,raw,availability_meta,-1.9295290964890033e-23,4.156329994462849e-22,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_neg_entropy,rank,availability_meta,-0.02578813587260311,0.008415514991916475,False,0.6405906304352864,nan
