method_id,domain,anchor_pct,rep_feature,feature,channel,w_orig,family
es_svd_ms_rr_r1,math,40,has_tok_gini::raw,has_tok_gini,raw,-3.769426032607642e-17,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_neg_entropy::raw,has_tok_neg_entropy,raw,4.448150056678418e-20,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_selfcert::raw,has_tok_selfcert,raw,-1.431369919460958e-19,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_logprob::raw,has_tok_logprob,raw,-1.733076348526896e-22,availability_meta
es_svd_ms_rr_r1,math,40,has_rows_bank::raw,has_rows_bank,raw,-2.2581107599242973e-21,availability_meta
es_svd_ms_rr_r1,math,40,tok_conf_prefix::rank,tok_conf_prefix,rank,0.18852212124261455,confidence
es_svd_ms_rr_r1,math,40,tok_conf_recency::rank,tok_conf_recency,rank,0.19477138030906913,confidence
es_svd_ms_rr_r1,math,40,tok_gini_prefix::rank,tok_gini_prefix,rank,-0.03792647029598227,uncertainty
es_svd_ms_rr_r1,math,40,tok_gini_tail::rank,tok_gini_tail,rank,0.15089056107090681,uncertainty
es_svd_ms_rr_r1,math,40,tok_gini_slope::rank,tok_gini_slope,rank,-0.08138558248074397,uncertainty
es_svd_ms_rr_r1,math,40,tok_neg_entropy_prefix::rank,tok_neg_entropy_prefix,rank,-0.007539911324712483,uncertainty
es_svd_ms_rr_r1,math,40,tok_neg_entropy_recency::rank,tok_neg_entropy_recency,rank,-0.007025697983303018,uncertainty
es_svd_ms_rr_r1,math,40,tok_selfcert_prefix::rank,tok_selfcert_prefix,rank,-0.007539911324712483,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_selfcert_recency::rank,tok_selfcert_recency,rank,-0.007025697983303018,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_logprob_prefix::rank,tok_logprob_prefix,rank,-0.11092167144064057,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_logprob_recency::rank,tok_logprob_recency,rank,-0.09293218689212494,self_cert_logprob
es_svd_ms_rr_r1,math,40,traj_continuity::rank,traj_continuity,rank,-1.5810496811319161,trajectory
es_svd_ms_rr_r1,math,40,traj_reflection_count::rank,traj_reflection_count,rank,-1.6787475214109124,trajectory
es_svd_ms_rr_r1,math,40,traj_novelty::rank,traj_novelty,rank,-0.7405479238373103,trajectory
es_svd_ms_rr_r1,math,40,traj_max_reflection::rank,traj_max_reflection,rank,1.6317286211681779,trajectory
es_svd_ms_rr_r1,math,40,traj_late_convergence::rank,traj_late_convergence,rank,0.06861927430652652,trajectory
es_svd_ms_rr_r1,math,40,has_tok_conf::rank,has_tok_conf,rank,-0.002934355292446747,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_gini::rank,has_tok_gini,rank,-0.002934355292446747,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_neg_entropy::rank,has_tok_neg_entropy,rank,-0.002934355292446747,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_selfcert::rank,has_tok_selfcert,rank,-0.0029343552924467942,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_logprob::rank,has_tok_logprob,rank,-0.0029343552924465813,availability_meta
es_svd_ms_rr_r1,math,40,has_rows_bank::rank,has_rows_bank,rank,-0.0029343552924465813,availability_meta
es_svd_ms_rr_r1,math,40,tok_conf_prefix::raw,tok_conf_prefix,raw,0.14237514804211135,confidence
es_svd_ms_rr_r1,math,40,tok_conf_recency::raw,tok_conf_recency,raw,0.15080354408310448,confidence
es_svd_ms_rr_r1,math,40,tok_gini_prefix::raw,tok_gini_prefix,raw,-0.292165996252303,uncertainty
es_svd_ms_rr_r1,math,40,tok_gini_tail::raw,tok_gini_tail,raw,-1.6690216803390483,uncertainty
es_svd_ms_rr_r1,math,40,tok_gini_slope::raw,tok_gini_slope,raw,0.08181509505955685,uncertainty
es_svd_ms_rr_r1,math,40,tok_neg_entropy_prefix::raw,tok_neg_entropy_prefix,raw,-0.5341881752572408,uncertainty
es_svd_ms_rr_r1,math,40,tok_neg_entropy_recency::raw,tok_neg_entropy_recency,raw,-0.5356915866402909,uncertainty
es_svd_ms_rr_r1,math,40,tok_selfcert_prefix::raw,tok_selfcert_prefix,raw,-0.5341881752572543,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_selfcert_recency::raw,tok_selfcert_recency,raw,-0.5356915866403504,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_logprob_prefix::raw,tok_logprob_prefix,raw,-0.7283513717099414,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_logprob_recency::raw,tok_logprob_recency,raw,-0.7333423044835689,self_cert_logprob
es_svd_ms_rr_r1,math,40,traj_continuity::raw,traj_continuity,raw,49.140744210270476,trajectory
es_svd_ms_rr_r1,math,40,traj_reflection_count::raw,traj_reflection_count,raw,0.0731989107673934,trajectory
es_svd_ms_rr_r1,math,40,traj_novelty::raw,traj_novelty,raw,-45.82528330327998,trajectory
es_svd_ms_rr_r1,math,40,traj_max_reflection::raw,traj_max_reflection,raw,-6.907166945718565,trajectory
es_svd_ms_rr_r1,math,40,traj_late_convergence::raw,traj_late_convergence,raw,0.10995644203329626,trajectory
es_svd_ms_rr_r1,math,40,has_tok_conf::raw,has_tok_conf,raw,-7.381328191051259e-17,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_gini::raw,has_tok_gini,raw,-3.769426032607642e-17,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_neg_entropy::raw,has_tok_neg_entropy,raw,4.448150056678418e-20,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_selfcert::raw,has_tok_selfcert,raw,-1.431369919460958e-19,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_logprob::raw,has_tok_logprob,raw,-1.733076348526896e-22,availability_meta
es_svd_ms_rr_r1,math,40,has_rows_bank::raw,has_rows_bank,raw,-2.2581107599242973e-21,availability_meta
es_svd_ms_rr_r1,math,40,tok_conf_prefix::rank,tok_conf_prefix,rank,0.18852212124261455,confidence
es_svd_ms_rr_r1,math,40,tok_conf_recency::rank,tok_conf_recency,rank,0.19477138030906913,confidence
es_svd_ms_rr_r1,math,40,tok_gini_prefix::rank,tok_gini_prefix,rank,-0.03792647029598227,uncertainty
es_svd_ms_rr_r1,math,40,tok_gini_tail::rank,tok_gini_tail,rank,0.15089056107090681,uncertainty
es_svd_ms_rr_r1,math,40,tok_gini_slope::rank,tok_gini_slope,rank,-0.08138558248074397,uncertainty
es_svd_ms_rr_r1,math,40,tok_neg_entropy_prefix::rank,tok_neg_entropy_prefix,rank,-0.007539911324712483,uncertainty
es_svd_ms_rr_r1,math,40,tok_neg_entropy_recency::rank,tok_neg_entropy_recency,rank,-0.007025697983303018,uncertainty
es_svd_ms_rr_r1,math,40,tok_selfcert_prefix::rank,tok_selfcert_prefix,rank,-0.007539911324712483,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_selfcert_recency::rank,tok_selfcert_recency,rank,-0.007025697983303018,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_logprob_prefix::rank,tok_logprob_prefix,rank,-0.11092167144064057,self_cert_logprob
es_svd_ms_rr_r1,math,40,tok_logprob_recency::rank,tok_logprob_recency,rank,-0.09293218689212494,self_cert_logprob
es_svd_ms_rr_r1,math,40,traj_continuity::rank,traj_continuity,rank,-1.5810496811319161,trajectory
es_svd_ms_rr_r1,math,40,traj_reflection_count::rank,traj_reflection_count,rank,-1.6787475214109124,trajectory
es_svd_ms_rr_r1,math,40,traj_novelty::rank,traj_novelty,rank,-0.7405479238373103,trajectory
es_svd_ms_rr_r1,math,40,traj_max_reflection::rank,traj_max_reflection,rank,1.6317286211681779,trajectory
es_svd_ms_rr_r1,math,40,traj_late_convergence::rank,traj_late_convergence,rank,0.06861927430652652,trajectory
es_svd_ms_rr_r1,math,40,has_tok_conf::rank,has_tok_conf,rank,-0.002934355292446747,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_gini::rank,has_tok_gini,rank,-0.002934355292446747,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_neg_entropy::rank,has_tok_neg_entropy,rank,-0.002934355292446747,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_selfcert::rank,has_tok_selfcert,rank,-0.0029343552924467942,availability_meta
es_svd_ms_rr_r1,math,40,has_tok_logprob::rank,has_tok_logprob,rank,-0.0029343552924465813,availability_meta
