method_name,metric_scope,domain_scope,anchor_pct,label_fraction_pct,latent_dim,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,auroc,selacc_at_10,stop_acc,pretrain_best_loss,pretrain_best_epoch,notes
neural_semisup_freeze,aggregate,coding,,1,24,0.4937692979946501,0.45499999999999996,0.2,0.46901299013975073,0.44,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,1,24,0.7507349230506253,0.9221153846153847,0.1,0.8043463134975108,0.7351851851851853,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,1,24,,,,,,0.4665631707885229,0.375,0.48,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,1,24,,,,,,0.46901299013975073,0.425,0.44,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,5,24,0.8270788347734349,0.9692307692307693,0.1,0.7736639802031434,0.6785714285714286,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,5,24,0.5816908782294536,0.8471354166666667,0.2,0.5136190485604806,0.7333333333333334,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,5,24,0.47269772481040084,0.378125,,0.5412912596011188,0.6,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,5,24,0.7725481777636614,0.9420984686609687,0.1,0.7158762176158849,0.6907407407407408,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,5,24,,,,,,0.4656704797549868,0.34375,0.48,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,5,24,,,,,,0.5412912596011188,0.55625,0.6,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,10,24,0.7982311802900641,0.9027472527472528,0.1,0.9152073177157715,0.7142857142857143,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,10,24,0.598393537845882,0.8239583333333333,0.4,0.5033734065379223,0.7166666666666667,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,10,24,0.5425702622885721,0.53,,0.5034152076405598,0.56,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,10,24,0.7538228153024681,0.8852386039886041,0.1,0.8236886707873606,0.7148148148148148,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,10,24,,,,,,0.5986876972792465,0.6125,0.6,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,10,24,,,,,,0.5034152076405598,0.49375,0.56,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,20,24,0.7994175007655784,0.9230769230769231,0.1,0.8367543683989649,0.7857142857142857,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,20,24,0.64921162588314,0.88046875,0.1,0.6689243229421937,0.7,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,20,24,0.5560359827965462,0.544375,0.4,0.5379362421615943,0.48,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,20,24,0.7660384174583699,0.9136084401709402,0.1,0.7994588027419047,0.7666666666666667,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,20,24,,,,,,0.5006777260298387,0.46875,0.48,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,20,24,,,,,,0.5379362421615943,0.575,0.48,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,50,24,0.8078335849733106,0.9087912087912089,0.1,0.9056583760461391,0.75,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
