condition_id,domain,layer,condition_label,base_feature_count,feature_count,decoy_family,decoy_level,n_seeds,no_svd_auc_of_auroc_mean,no_svd_auc_of_auroc_std,best_svd_auc_of_auroc_mean,best_svd_auc_of_auroc_std,delta_auc_of_auroc_mean,delta_auc_of_auroc_std,no_svd_auc_of_selacc_mean,no_svd_auc_of_selacc_std,best_svd_auc_of_selacc_mean,best_svd_auc_of_selacc_std,delta_auc_of_selacc_mean,delta_auc_of_selacc_std,delta_auroc_at_100_mean,delta_auroc_at_100_std,delta_stop_acc_at_100_mean,delta_stop_acc_at_100_std,best_svd_rank_mode,best_svd_rank_hist
token_plus_trajectory,math,canonical,L1 token + trajectory,16,16,,,3,0.9592383369917604,0.0,0.9593552442627317,1.1102230246251565e-16,0.00011690727097113385,0.0,0.9978021978021978,0.0,0.9978021978021978,0.0,0.0,0.0,0.00013143420265060435,0.0,0.0,0.0,24,"{""24"": 3}"
token_plus_trajectory,science,canonical,L1 token + trajectory,16,16,,,3,0.8341495980677548,1.1102230246251565e-16,0.8354234603178584,1.1102230246251565e-16,0.001273862250103619,0.0,0.9851562499999998,1.1102230246251565e-16,0.9817708333333334,1.1102230246251565e-16,-0.0033854166666666963,0.0,-3.33742086793265e-05,0.0,0.0,0.0,24,"{""24"": 3}"
canonical_22,coding,canonical,L1 canonical 22,22,22,,,3,0.4780455850878386,0.0,0.4853077282654746,5.551115123125783e-17,0.007262143177636016,0.0,0.47562499999999996,0.0,0.47874999999999995,0.0,0.003124999999999989,0.0,-0.06313717581323214,0.0,-0.07999999999999996,0.0,4,"{""4"": 3}"
canonical_22,math,canonical,L1 canonical 22,22,22,,,3,0.9592577287748122,0.0,0.959456230744185,4.5551611854267415e-07,0.00019850196937272932,4.5551611854267415e-07,0.9972527472527473,0.0,0.9983516483516484,0.0,0.001098901098901095,0.0,4.472767160712543e-05,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
canonical_22,science,canonical,L1 canonical 22,22,22,,,3,0.8348068336329909,1.1102230246251565e-16,0.8366875694371253,0.0,0.0018807358041345035,0.0,0.9846354166666668,1.1102230246251565e-16,0.9828125,1.1102230246251565e-16,-0.001822916666666785,0.0,-6.998434089156014e-05,0.0,0.0,0.0,24,"{""24"": 3}"
canonical_plus_neuron_adjacent,coding,expansion,L2 canonical + neuron-adjacent,25,25,,,3,0.5370924849798089,0.0,0.5410625368371847,0.0,0.003970051857375867,0.0,0.6806249999999999,0.0,0.676875,0.0,-0.00374999999999992,0.0,-0.05047534624999417,0.0,0.0,0.0,24,"{""24"": 3}"
canonical_plus_neuron_adjacent,math,expansion,L2 canonical + neuron-adjacent,25,25,,,3,0.9597798093081641,0.0,0.9594983741430528,1.1102230246251565e-16,-0.00028143516511136557,0.0,0.9983516483516484,0.0,0.9978021978021978,0.0,-0.0005494505494505475,0.0,-0.00028678393061853935,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
canonical_plus_neuron_adjacent,science,expansion,L2 canonical + neuron-adjacent,25,25,,,3,0.8300985744805542,0.0,0.8089714588728721,1.1102230246251565e-16,-0.021127115607682212,0.0,0.9812499999999998,1.1102230246251565e-16,0.97265625,0.0,-0.008593749999999956,0.0,-0.018017618020626736,0.0,-0.01666666666666683,0.0,16,"{""16"": 3}"
canonical_plus_prefix_tail,coding,expansion,L2 canonical + prefix-tail,28,28,,,3,0.5387434162082049,0.0,0.5410217325710284,0.0,0.002278316362823496,0.0,0.679375,0.0,0.67625,0.0,-0.0031249999999999334,0.0,-0.05040186730327567,0.0,0.0,0.0,24,"{""24"": 3}"
canonical_plus_prefix_tail,math,expansion,L2 canonical + prefix-tail,28,28,,,3,0.9597953674333969,0.0,0.9594827856037179,1.1102230246251565e-16,-0.00031258182967908166,0.0,0.9983516483516484,0.0,0.9978021978021978,0.0,-0.0005494505494505475,0.0,-0.0002551868613032138,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
canonical_plus_prefix_tail,science,expansion,L2 canonical + prefix-tail,28,28,,,3,0.8298159193411405,0.0,0.8089806447571629,1.1102230246251565e-16,-0.020835274583977492,0.0,0.9812499999999998,1.1102230246251565e-16,0.97265625,0.0,-0.008593749999999956,0.0,-0.018096965514586838,0.0,-0.01666666666666683,0.0,16,"{""16"": 3}"
canonical_plus_event_local,coding,expansion,L2 canonical + event-local,30,30,,,3,0.5370432384516892,0.0,0.5409996888870128,0.0,0.003956450435323555,0.0,0.6831249999999999,0.0,0.67625,0.0,-0.0068749999999998535,0.0,-0.05005479653366984,0.0,0.0,0.0,24,"{""24"": 3}"
canonical_plus_event_local,math,expansion,L2 canonical + event-local,30,30,,,3,0.9598807656134974,1.1102230246251565e-16,0.959499027933119,0.0,-0.00038173768037830236,0.0,0.9983516483516484,0.0,0.9978021978021978,0.0,-0.0005494505494505475,0.0,-0.0002445989248227587,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
canonical_plus_event_local,science,expansion,L2 canonical + event-local,30,30,,,3,0.8299483856552943,0.0,0.8089888863492428,1.1102230246251565e-16,-0.020959499306051343,0.0,0.9812499999999998,1.1102230246251565e-16,0.97265625,0.0,-0.008593749999999956,0.0,-0.018146868399879557,0.0,-0.01666666666666683,0.0,16,"{""16"": 3}"
perm_low,coding,noise,L3 permutation low,30,45,permutation,low,3,0.5452614677966791,0.0,0.5115214988454425,3.33153210842484e-05,-0.03373996895123651,3.33153210842484e-05,0.6993750000000002,1.1102230246251565e-16,0.465625,0.0005103103630798179,-0.23375000000000012,0.0005103103630798179,-0.09541058836833488,2.696802213525583e-05,0.20000000000000007,0.0,4,"{""4"": 3}"
perm_low,math,noise,L3 permutation low,30,45,permutation,low,3,0.9606587387652749,1.1102230246251565e-16,0.9398721724015534,1.1505779300882799e-07,-0.02078656636372156,1.1505779300882799e-07,0.9983516483516484,0.0,0.9983516483516484,0.0,0.0,0.0,-0.01781642373117731,0.0,0.0,0.0,24,"{""24"": 3}"
