condition_id,domain,layer,condition_label,base_feature_count,feature_count,decoy_family,decoy_level,n_seeds,no_svd_auc_of_auroc_mean,no_svd_auc_of_auroc_std,best_svd_auc_of_auroc_mean,best_svd_auc_of_auroc_std,delta_auc_of_auroc_mean,delta_auc_of_auroc_std,no_svd_auc_of_selacc_mean,no_svd_auc_of_selacc_std,best_svd_auc_of_selacc_mean,best_svd_auc_of_selacc_std,delta_auc_of_selacc_mean,delta_auc_of_selacc_std,delta_auroc_at_100_mean,delta_auroc_at_100_std,delta_stop_acc_at_100_mean,delta_stop_acc_at_100_std,best_svd_rank_mode,best_svd_rank_hist
duplicate_low,math,noise,L3 duplicate low,30,45,duplicate,low,3,0.9598593934664789,0.0,0.9592164409292993,7.633979485779097e-05,-0.0006429525371795716,7.633979485779097e-05,0.9983516483516484,0.0,0.9983516483516484,0.0,0.0,0.0,-0.00013656634659138986,3.5497574502341684e-05,0.0,0.0,24,"{""24"": 3}"
duplicate_low,science,noise,L3 duplicate low,30,45,duplicate,low,3,0.8310349654298302,0.0,0.8061063458701311,0.0,-0.02492861955969916,0.0,0.9794270833333334,0.0,0.9770833333333333,0.0,-0.002343750000000089,0.0,-0.02648261061040169,0.0,0.0,0.0,16,"{""16"": 3}"
duplicate_med,coding,noise,L3 duplicate med,30,60,duplicate,med,3,0.5444918149143501,0.0,0.5078183162690205,6.340215354687717e-06,-0.03667349864532954,6.340215354687717e-06,0.6199999999999999,0.0,0.4791666666666667,0.00029462782549436237,-0.1408333333333332,0.00029462782549436237,-0.0799226855564884,7.694352106013906e-06,-0.040000000000000036,0.0,4,"{""4"": 3}"
duplicate_med,math,noise,L3 duplicate med,30,60,duplicate,med,3,0.9587732313951339,0.0,0.9315224598974184,1.1102230246251565e-16,-0.027250771497715598,0.0,0.9978021978021978,0.0,0.9978021978021978,0.0,0.0,0.0,-0.023170024734373795,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
duplicate_med,science,noise,L3 duplicate med,30,60,duplicate,med,3,0.8289153379987376,0.0,0.806028036694463,1.2253290749713507e-06,-0.022887301304274743,1.2253290749713507e-06,0.9807291666666668,1.1102230246251565e-16,0.9783854166666668,0.0,-0.0023437499999998668,0.0,-0.036993707365688334,4.645412240756167e-06,-0.09999999999999998,0.0,4,"{""4"": 3}"
duplicate_high,coding,noise,L3 duplicate high,30,90,duplicate,high,3,0.5335437645296801,0.0,0.5092693430721599,8.49932875185455e-07,-0.024274421457520196,8.49932875185455e-07,0.628125,0.0,0.4781250000000001,5.551115123125783e-17,-0.15000000000000002,0.0,-0.07240907240907245,9.749398714930918e-06,0.040000000000000036,0.0,4,"{""4"": 3}"
duplicate_high,math,noise,L3 duplicate high,30,90,duplicate,high,3,0.9583674631614126,1.1102230246251565e-16,0.918939454573089,0.00047443624240892785,-0.03942800858832348,0.00047443624240892785,0.9983516483516484,0.0,0.9972527472527473,0.0,-0.001098901098901095,0.0,-0.02511076248350293,0.0004156258412686647,0.0,0.0,24,"{""24"": 3}"
duplicate_high,science,noise,L3 duplicate high,30,90,duplicate,high,3,0.8258998807246017,0.0,0.8058726088096501,2.9322629495555903e-07,-0.020027271914951683,2.9322629495555903e-07,0.9807291666666668,1.1102230246251565e-16,0.9783854166666665,1.1102230246251565e-16,-0.002343750000000089,0.0,-0.032330055487169496,2.8938084328789745e-07,-0.06666666666666665,0.0,4,"{""4"": 3}"
random_low,coding,noise,L3 random low,30,45,random,low,3,0.5300539835751102,0.0,0.50663884889237,0.00032180767074710073,-0.023415134682740184,0.00032180767074710073,0.62375,0.0,0.4872916666666667,0.0011785113019776327,-0.13645833333333338,0.0011785113019776327,-0.04861909087261198,0.00047352378920105303,0.13333333333333333,0.018856180831641284,4,"{""4"": 3}"
random_low,math,noise,L3 random low,30,45,random,low,3,0.9575045708169269,0.0,0.8975743106302062,1.1102230246251565e-16,-0.05993026018672054,0.0,0.9972527472527473,0.0,0.9972527472527473,0.0,0.0,0.0,-0.043095116324013416,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
random_low,science,noise,L3 random low,30,45,random,low,3,0.8287124525361533,0.0,0.8048819093297251,1.5354828016544825e-07,-0.023830543206428228,1.5354828016544827e-07,0.9817708333333334,1.1102230246251565e-16,0.9731770833333333,0.0,-0.008593749999999956,0.0,-0.02740679714968619,0.0,0.0,0.0,24,"{""24"": 3}"
random_med,coding,noise,L3 random med,30,60,random,med,3,0.5471004738610372,0.0,0.5067019052934547,0.0002729619930743837,-0.04039856856758254,0.00027296199307438374,0.65125,0.0,0.48374999999999996,0.0022243913025065173,-0.16749999999999998,0.0022243913025065173,-0.061970371829526805,0.0003435940409219754,0.0,0.03265986323710907,4,"{""4"": 3}"
random_med,math,noise,L3 random med,30,60,random,med,3,0.9584072061290315,0.0,0.7846638076193707,0.0013597094842394376,-0.17374339850966078,0.0013597094842394376,0.9989010989010989,0.0,0.9622710622710623,0.0011290135536573176,-0.03663003663003661,0.0011290135536573176,-0.17549010528032097,0.0014123407641447889,0.0595238095238095,0.016835875742536838,24,"{""24"": 3}"
random_med,science,noise,L3 random med,30,60,random,med,3,0.8261846063043278,0.0,0.7989653545171794,9.844425317989737e-05,-0.027219251787148457,9.844425317989737e-05,0.978125,0.0,0.9750868055555556,0.0002455231879119817,-0.003038194444444494,0.0002455231879119817,-0.028926016439639435,0.00019724334945451252,0.011111111111111219,0.01571348402636772,16,"{""16"": 2, ""24"": 1}"
random_high,coding,noise,L3 random high,30,90,random,high,3,0.5242622791918566,0.0,0.5058567410680087,0.000807465529519469,-0.01840553812384797,0.0008074655295194689,0.590625,0.0,0.47541666666666665,0.0007795119555778829,-0.11520833333333329,0.0007795119555778829,-0.03176687683729942,0.002299810801278697,0.0,0.0,4,"{""4"": 3}"
random_high,math,noise,L3 random high,30,90,random,high,3,0.9560634709752355,1.1102230246251565e-16,0.7778521711541243,0.0022683537577707527,-0.17821129982111103,0.0022683537577707527,0.9972527472527473,0.0,0.9615384615384616,0.0004486244950152325,-0.0357142857142857,0.0004486244950152325,-0.17208828581945698,0.0021187922652213254,0.0,0.0,24,"{""16"": 1, ""24"": 2}"
