row_kind,domain,protocol,split_name,representation,method_name,family_name,seed,n_seeds,reference_kind,status,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0p6,val_auroc_mean,best_svd_reference_method,best_svd_reference_auc_of_auroc,delta_auc_of_auroc_vs_best_svd,best_linear_reference_method,best_linear_reference_auc_of_auroc,delta_auc_of_auroc_vs_best_linear,anchor_config_summary,notes
mlp_seed,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed42,mlp_2h,42,3,mlp,ok,0.9325828405174149,0.9944132834757835,0.9555908659984027,0.7148148148148148,10%,0.8079236289377978,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.0074012295229657354,tok_conf_prefix_mean_v1,0.7126735109305563,0.2199093295868586,"{""10%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.766656417100529}, ""100%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8329824061296724}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 1, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.7880275100348568}, ""30%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.7939016576555206}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 9, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8016258768819458}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.81232346700462}, ""60%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8112606351707633}, ""70%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8193023085445001}, ""80%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8253095177936289}, ""90%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 8, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8278464930619408}}",
mlp_seed,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed101,mlp_2h,101,3,mlp,ok,0.9343823452974009,0.9955439814814816,0.9600784570952661,0.7277777777777779,10%,0.830913985030304,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.005601724742979708,tok_conf_prefix_mean_v1,0.7126735109305563,0.22170883436684463,"{""10%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.7931939238019158}, ""100%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 9, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8454618302524802}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 3, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8186331448683184}, ""30%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 5, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8167752883415492}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.822499530698131}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 7, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8298953973684363}, ""60%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 10, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8343770441507621}, ""70%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 9, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.846553587657733}, ""80%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 10, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8514447468374843}, ""90%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8503053563262305}}",
mlp_seed,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed29,mlp_2h,29,3,mlp,ok,0.929788743255195,0.995949074074074,0.9589943576383452,0.75,10%,0.836764225171466,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.010195326785185643,tok_conf_prefix_mean_v1,0.7126735109305563,0.2171152323246387,"{""10%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.7840969583433707}, ""100%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 10, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8475920902093169}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8235065924768245}, ""30%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8191177889554107}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8349330709514211}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8494879154881688}, ""60%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.851515839732612}, ""70%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8487353616295334}, ""80%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.853367850820392}, ""90%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 8, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8552887831076109}}",
mlp_family_mean,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_mean,mlp_2h,mean,3,mlp,ok,0.9322513096900037,0.9953021130104464,0.9582212269106712,0.7308641975308642,10%,0.8252006130465226,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.007732760350376955,tok_conf_prefix_mean_v1,0.7126735109305563,0.21957779875944738,,
mlp_best_mean,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_best_mean,mlp_2h,mean,3,mlp,ok,0.9322513096900037,0.9953021130104464,0.9582212269106712,0.7308641975308642,10%,0.8252006130465226,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.007732760350376955,tok_conf_prefix_mean_v1,0.7126735109305563,0.21957779875944738,,
mlp_seed_best_family,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed42,mlp_2h,42,3,mlp,ok,0.9325828405174149,0.9944132834757835,0.9555908659984027,0.7148148148148148,10%,0.8079236289377978,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.0074012295229657354,tok_conf_prefix_mean_v1,0.7126735109305563,0.2199093295868586,"{""10%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.766656417100529}, ""100%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8329824061296724}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 1, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.7880275100348568}, ""30%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.7939016576555206}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 9, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8016258768819458}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.81232346700462}, ""60%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8112606351707633}, ""70%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8193023085445001}, ""80%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8253095177936289}, ""90%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 8, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8278464930619408}}",
mlp_seed_best_family,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed101,mlp_2h,101,3,mlp,ok,0.9343823452974009,0.9955439814814816,0.9600784570952661,0.7277777777777779,10%,0.830913985030304,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.005601724742979708,tok_conf_prefix_mean_v1,0.7126735109305563,0.22170883436684463,"{""10%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.7931939238019158}, ""100%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 9, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8454618302524802}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 3, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8186331448683184}, ""30%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 5, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8167752883415492}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.822499530698131}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 7, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8298953973684363}, ""60%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 10, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8343770441507621}, ""70%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 9, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.846553587657733}, ""80%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 10, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8514447468374843}, ""90%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8503053563262305}}",
mlp_seed_best_family,ms,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed29,mlp_2h,29,3,mlp,ok,0.929788743255195,0.995949074074074,0.9589943576383452,0.75,10%,0.836764225171466,es_svd_ms_rr_r2_20260412,0.9399840700403806,-0.010195326785185643,tok_conf_prefix_mean_v1,0.7126735109305563,0.2171152323246387,"{""10%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.7840969583433707}, ""100%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 10, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8475920902093169}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8235065924768245}, ""30%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8191177889554107}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8349330709514211}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8494879154881688}, ""60%"": {""alpha"": 0.0001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.851515839732612}, ""70%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.8487353616295334}, ""80%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 11, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.853367850820392}, ""90%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 8, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.8552887831076109}}",
mlp_seed,coding,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_1h_seed42,mlp_1h,42,3,mlp,ok,0.501726129895144,0.5025000000000001,0.4758996871672928,0.56,N/A,0.5094312063596255,es_svd_coding_rr_r1,0.4923833599889938,0.009342769906150183,tok_conf_prefix_mean_v1,0.5062144428341612,-0.004488312939017192,"{""10%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5210713954647833}, ""100%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5163312396810166}, ""20%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.48177470229967706}, ""30%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4876372628356253}, ""40%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.487078565827285}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5071064756240244}, ""60%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.521990865429182}, ""70%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5262950872243782}, ""80%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.530584276813072}, ""90%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 1, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.514442192397211}}",
mlp_seed,coding,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_1h_seed101,mlp_1h,101,3,mlp,ok,0.5035360570571839,0.46687499999999993,0.497513441175413,0.6,N/A,0.5427778335396523,es_svd_coding_rr_r1,0.4923833599889938,0.011152697068190054,tok_conf_prefix_mean_v1,0.5062144428341612,-0.002678385776977321,"{""10%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5534009167252166}, ""100%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5124806227486143}, ""20%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 7, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5297623428909186}, ""30%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5350998695172137}, ""40%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5618544168980785}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 12, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5638819186545775}, ""60%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 5, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5553391994825299}, ""70%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 5, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5373994892212297}, ""80%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 3, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5361392708577292}, ""90%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 9, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.5424202884004149}}",
mlp_seed,coding,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_1h_seed29,mlp_1h,29,3,mlp,ok,0.4872249815911788,0.38062500000000005,0.45016954876109805,0.52,N/A,0.43177655840405216,es_svd_coding_rr_r1,0.4923833599889938,-0.005158378397815022,tok_conf_prefix_mean_v1,0.5062144428341612,-0.018989461242982397,"{""10%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 5, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.464564357755365}, ""100%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 3, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4052805793753055}, ""20%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 3, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4182098902563647}, ""30%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.42756475763095925}, ""40%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 2, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.41030790420757984}, ""50%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 3, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4311814102279291}, ""60%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 4, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4487492780023993}, ""70%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 4, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4520193717510108}, ""80%"": {""alpha"": 0.0, ""batch_size"": 128, ""best_epoch"": 3, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.4304283111920736}, ""90%"": {""alpha"": 0.001, ""batch_size"": 128, ""best_epoch"": 3, ""hidden_layers"": [32], ""route_type"": ""mlp"", ""val_auroc"": 0.42945972364153373}}",
mlp_family_mean,coding,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_1h_mean,mlp_1h,mean,3,mlp,ok,0.4974957228478356,0.45,0.47452755903460125,0.56,N/A,0.4946618661011099,es_svd_coding_rr_r1,0.4923833599889938,0.005112362858841812,tok_conf_prefix_mean_v1,0.5062144428341612,-0.008718719986325563,,
mlp_seed,coding,id_grouped_85_15,seed42_grouped_holdout,raw+rank,mlp_2h_seed42,mlp_2h,42,3,mlp,ok,0.5931430072275143,0.66125,0.5833790622523017,0.48,30%,0.5195513888506125,es_svd_coding_rr_r1,0.4923833599889938,0.10075964723852054,tok_conf_prefix_mean_v1,0.5062144428341612,0.08692856439335317,"{""10%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 2, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.4348667019088397}, ""100%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.5439103278774775}, ""20%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [64, 32], ""route_type"": ""mlp"", ""val_auroc"": 0.4250807354757568}, ""30%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.4573298291589731}, ""40%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.49672924240184596}, ""50%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.547480476921805}, ""60%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.5550717412055328}, ""70%"": {""alpha"": 0.001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.5717449635844798}, ""80%"": {""alpha"": 0.0, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.5824178302012061}, ""90%"": {""alpha"": 0.0001, ""batch_size"": 64, ""best_epoch"": 12, ""hidden_layers"": [128, 64], ""route_type"": ""mlp"", ""val_auroc"": 0.5808820397702077}}",
