seed,bundle,anchor_pct,target_pool,method,head,rank,c_value,class_weight,source_val_pairwise,source_val_hit1,source_val_auroc,source_val_selacc10,rotation_norm,orth_error,alignment_gap,target_label_status,target_score_mean,target_score_std,target_score_corr_vs_no_rotation,target_top1_agreement_vs_no_rotation,target_top1_flip_rate_vs_no_rotation,target_mean_abs_score_delta_vs_no_rotation,alignment_gap_before,alignment_gap_after,alignment_gap_delta,qwen_pairwise,qwen_hit1,qwen_auroc,fit__matched_to_learned_norm,fit__align_weight,fit__best_step,fit__eval_every,fit__identity_weight,fit__lr,fit__steps
42,token_only,100,Qwen3-4B/lcb_v5,random_rotation_control,pairwise,16,0.5,none,0.5239273811270907,0.58,0.4783414010177817,0.5885714285714285,5.071403622525382,1.67927391677664e-15,783.472117495642,unlabeled_proxy_only,-48.954481908009164,1.8497889786039714,0.5481178883632584,0.38922155688622756,0.6107784431137724,4.5922046857517085,783.029473875196,783.472117495642,0.442643620446006,nan,nan,nan,5.071403622525382,,,,,,
42,token_only,100,Qwen3-4B/lcb_v5,learned_rotation,pairwise,16,0.5,none,0.5315599271197344,0.58,0.4308443856004748,0.582857142857143,5.071403622525382,2.185262765012435e-15,782.6765928524151,unlabeled_proxy_only,38.607833891679725,0.865507851520233,-0.7797076264728243,0.0,1.0,92.15432874133626,783.029473875196,782.6765928524151,-0.3528810227809345,nan,nan,nan,,0.1,30,10,0.3,0.05,80
42,canonical_22,70,Qwen3-4B/lcb_v5,no_rotation,pointwise,16,0.5,balanced,0.5197035183402474,0.62,0.5824639897733239,0.5857142857142857,0.0,0.0,306.2981446460649,unlabeled_proxy_only,-10.159758865680642,0.3262982877824273,1.0,1.0,0.0,0.0,306.2981446460649,306.2981446460649,0.0,nan,nan,nan,,,,,,,
42,canonical_22,70,Qwen3-4B/lcb_v5,random_rotation_control,pointwise,16,0.5,balanced,0.5379688462368154,0.56,0.5336558004228276,0.5714285714285714,2.5505546268970045,1.3130309686840457e-15,306.4862601889441,unlabeled_proxy_only,-6.257315059436343,0.3089556855021468,0.2400083968403518,0.023952095808383235,0.9760479041916168,3.9024438062442983,306.2981446460649,306.4862601889441,0.18811554287918852,nan,nan,nan,2.5505546268970045,,,,,,
42,canonical_22,70,Qwen3-4B/lcb_v5,learned_rotation,pointwise,16,0.5,balanced,0.5323387502251685,0.64,0.5870547004624351,0.5942857142857143,2.5505546268970045,1.543548445237036e-15,305.1374937474317,unlabeled_proxy_only,-11.236452478341706,0.2677768617302038,0.9528303686248117,0.3592814371257485,0.6407185628742516,1.0766936126610644,306.2981446460649,305.1374937474317,-1.1606508986332074,nan,nan,nan,,0.1,20,10,1.0,0.05,80
42,canonical_22,70,Qwen3-4B/lcb_v5,no_rotation,pairwise,8,0.1,none,0.4565779103294116,0.54,0.45350118281985696,0.58,0.0,0.0,424.3565898013083,unlabeled_proxy_only,-9.83049453508353,0.35018307917278374,1.0,1.0,0.0,0.0,424.3565898013083,424.3565898013083,0.0,nan,nan,nan,,,,,,,
42,canonical_22,70,Qwen3-4B/lcb_v5,random_rotation_control,pairwise,8,0.1,none,0.5375465262204902,0.62,0.4826830126884312,0.5885714285714286,2.4416836495508494,6.923817093030309e-16,425.60195360247354,unlabeled_proxy_only,-8.746948363186068,0.19905073982928784,0.6129785101149375,0.017964071856287425,0.9820359281437125,1.0835461718974595,424.3565898013083,425.60195360247354,1.2453638011652401,nan,nan,nan,2.4416836495508494,,,,,,
42,canonical_22,70,Qwen3-4B/lcb_v5,learned_rotation,pairwise,8,0.1,none,0.47515399110022666,0.58,0.475166790214974,0.58,2.4416836495508494,9.63034730002804e-16,421.821156642585,unlabeled_proxy_only,-9.773076064626931,0.38477272317032657,0.47217976649648113,0.005988023952095809,0.9940119760479041,0.3288443250083127,424.3565898013083,421.821156642585,-2.535433158723322,nan,nan,nan,,0.25,50,10,0.1,0.05,80
42,canonical_22,100,Qwen3-4B/lcb_v5,no_rotation,pointwise,4,1.0,balanced,0.5381344651797152,0.6,0.46796334319717386,0.5942857142857143,0.0,0.0,874.9507727469874,unlabeled_proxy_only,-1.364244731808736,0.02604809465917232,1.0,1.0,0.0,0.0,874.9507727469874,874.9507727469874,0.0,nan,nan,nan,,,,,,,
42,canonical_22,100,Qwen3-4B/lcb_v5,random_rotation_control,pointwise,4,1.0,balanced,0.5381344651797152,0.6,0.46796334319717386,0.5942857142857143,0.0,0.0,874.9507727469874,unlabeled_proxy_only,-1.364244731808736,0.02604809465917232,1.0,1.0,0.0,0.0,874.9507727469874,874.9507727469874,0.0,nan,nan,nan,0.0,,,,,,
