condition_id,domain,seed,model_name,model_kind,rank,feature_count,representation_dim,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0_6,num_caches,samples,mean_anchor_cv_auroc,trained_anchor_count,fallback_anchor_count,inference_time_sec,layer,condition_label,description,base_feature_count,decoy_family,decoy_level
uncertainty_only,math,43,no_svd,no_svd,,7,14,0.7473818648420867,0.9423076923076924,0.8284216342427752,0.7142857142857143,0.1,7,1792,0.736783695556063,4,0,0.08712673792615533,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,43,svd_r4,svd,4,7,14,0.6669939758279331,0.9313186813186813,0.6396491180940073,0.6785714285714286,0.1,7,1792,0.6530523861154324,4,0,0.1836453820578754,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,43,svd_r8,svd,8,7,14,0.7560725215835866,0.948901098901099,0.8010597160267656,0.7142857142857143,0.1,7,1792,0.7290397476655246,4,0,0.13757870602421463,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,43,svd_r12,svd,12,7,14,0.7528401213200636,0.937912087912088,0.8280919071521347,0.7142857142857143,0.1,7,1792,0.7388840794568132,4,0,0.09688071790151298,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,44,no_svd,no_svd,,7,14,0.7473818648420867,0.9423076923076924,0.8284216342427752,0.7142857142857143,0.1,7,1792,0.736783695556063,4,0,0.08729971293359995,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,44,svd_r4,svd,4,7,14,0.6669939758279331,0.9313186813186813,0.6396491180940073,0.6785714285714286,0.1,7,1792,0.6530523861154324,4,0,0.0982822219375521,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,44,svd_r8,svd,8,7,14,0.7560725215835866,0.948901098901099,0.8010597160267656,0.7142857142857143,0.1,7,1792,0.7290397476655246,4,0,0.09812318510375917,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,math,44,svd_r12,svd,12,7,14,0.7528401213200636,0.937912087912088,0.8280919071521347,0.7142857142857143,0.1,7,1792,0.7388840794568132,4,0,0.09717224608175457,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,42,no_svd,no_svd,,7,14,0.7910506106767559,0.959375,0.8328213225474953,0.7,0.1,2,3840,0.6534067989004485,4,0,0.12676114891655743,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,42,svd_r4,svd,4,7,14,0.790708483683817,0.9710937500000001,0.8128620360727019,0.7166666666666666,0.1,2,3840,0.637246921618209,4,0,0.1425195219926536,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,42,svd_r8,svd,8,7,14,0.7907502019709616,0.9567708333333331,0.8297489318406568,0.7166666666666666,0.1,2,3840,0.6543659951651937,4,0,0.14698414993472397,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,42,svd_r12,svd,12,7,14,0.7857985222329721,0.9549479166666667,0.8310873619081001,0.7,0.1,2,3840,0.6560826225252515,4,0,0.14497244590893388,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,43,no_svd,no_svd,,7,14,0.7910506106767559,0.959375,0.8328213225474953,0.7,0.1,2,3840,0.6534067989004485,4,0,0.12285688403062522,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
