experiment_type,route_label,method_id,anchor_pct,rank_spec,n_problem_slices,n_samples,base_auroc,base_selacc_10,mean_abs_share_top1_k1,mean_abs_share_top1_k2,mean_abs_share_top1_k4,policy,k,intervened_auroc,intervened_auroc_std,intervened_selacc_10,intervened_selacc_10_std,auroc_drop,auroc_drop_std,selacc_drop,selacc_drop_std,mean_top1_score_drop,mean_top1_score_drop_std,median_top1_score_drop,median_top1_score_drop_std,mean_removed_abs_share_top1,mean_removed_abs_share_top1_std,mean_removed_abs_contribution_top1,mean_removed_abs_contribution_top1_std,top1_flip_rate,top1_flip_rate_std,decision_flip_rate,decision_flip_rate_std,n_repeats,subset_kind,epsilon,n_selected,monotonic_fraction,mean_score_delta,median_score_delta
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,top,1,0.7476766626382995,0.0,0.9343971631205674,0.0,0.1700278355489353,0.0,0.06382978723404253,0.0,1.0307830274306609,0.0,1.175540743827004,0.0,0.30129062560226244,0.0,2.1133091262648795,0.0,0.9090909090909091,0.0,0.3522727272727273,0.0,1,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,random,1,0.9023554740928562,0.0018174569318583655,0.9946254432624114,0.0026774067881980583,0.01534902409437855,0.0018174569318583655,0.0036015070921985304,0.0026774067881980583,0.10942931996419505,0.06881822851480965,0.009715860881802384,0.009174034117193187,0.06218340876734528,0.008952808113592588,0.43747080019558293,0.057574286849613306,0.7688210227272727,0.03439839725430202,0.35830965909090906,0.042231656853434725,32,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,bottom,1,0.9177157694181352,0.0,0.99822695035461,0.0,-1.1271230900389284e-05,0.0,0.0,0.0,-0.0001985742111701096,0.0,-0.000530469687765725,0.0,0.0006434235314279686,0.0,0.00391568140384175,0.0,0.011363636363636364,0.0,0.011363636363636364,0.0,1,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,top,2,0.6703819278547539,0.0,0.8634751773049646,0.0,0.24732257033248084,0.0,0.13475177304964536,0.0,1.4654536623601706,0.0,1.0068645029005734,0.0,0.4828579525604999,0.0,3.3664584365959134,0.0,0.9545454545454546,0.0,0.5227272727272727,0.0,1,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,random,2,0.8856687826938886,0.003008364575958987,0.9899711879432623,0.0038030100212538215,0.03203571549334616,0.003008364575958987,0.008255762411347622,0.0038030100212538215,0.14466693939553135,0.09610839930882066,0.04493344095556318,0.04819762795428273,0.12317622045947169,0.009252418374280143,0.8574342822603834,0.08632312655794103,0.8089488636363636,0.029989761833405435,0.41299715909090906,0.053572749662417415,32,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,bottom,2,0.9176583886062787,0.0,0.99822695035461,0.0,4.610958095607742e-05,0.0,0.0,0.0,0.002349325548181616,0.0,0.002353833754487611,0.0,0.0025837998939574106,0.0,0.017043665677717715,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,1,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,top,4,0.6030257838921522,0.0,0.8421985815602837,0.0,0.31467871429508254,0.0,0.15602836879432624,0.0,1.4345123102787638,0.0,0.9700659592201136,0.0,0.7063109570295734,0.0,4.946173846965531,0.0,0.9772727272727273,0.0,0.4772727272727273,0.0,1,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,random,4,0.8517427802276847,0.004888591397728066,0.979831560283688,0.004128531917153627,0.06596171795955008,0.004888591397728066,0.018395390070921946,0.004128531917153627,0.36888242080209327,0.1705859577475479,0.2038142836911488,0.13278974786735923,0.24784822390957792,0.01350645323036404,1.7058860930246162,0.12673987311245397,0.8721590909090909,0.032015419515865465,0.44957386363636365,0.055738136813163135,32,,,,,,
ablation,ms,es_svd_ms_rr_r1,100,math:16 / science:16,88,5632,0.9177044981872348,0.99822695035461,,,,bottom,4,0.9175995439982013,0.0,0.99822695035461,0.0,0.000104954189033446,0.0,0.0,0.0,-0.003318301668243494,0.0,0.008712054907067834,0.0,0.01236895128612942,0.0,0.08778620161733079,0.0,0.1590909090909091,0.0,0.10227272727272728,0.0,1,,,,,,
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,-0.2,88,1.0,-0.1352077418893844,-0.07595376114212848
