condition,protocol,seed_or_iter,fold,is_degenerate,auroc
canonical_plus_nc,repeated_gkf,6,4,False,0.5944
canonical_plus_nc,repeated_gkf,7,0,False,0.5977
canonical_plus_nc,repeated_gkf,7,1,False,0.5265
canonical_plus_nc,repeated_gkf,7,2,False,0.5117
canonical_plus_nc,repeated_gkf,7,3,False,0.4702
canonical_plus_nc,repeated_gkf,7,4,False,0.5092
canonical_plus_nc,repeated_gkf,8,0,False,0.5553
canonical_plus_nc,repeated_gkf,8,1,False,0.5494
canonical_plus_nc,repeated_gkf,8,2,False,0.5598
canonical_plus_nc,repeated_gkf,8,3,False,0.4263
canonical_plus_nc,repeated_gkf,8,4,False,0.4091
canonical_plus_nc,repeated_gkf,9,0,False,0.6074
canonical_plus_nc,repeated_gkf,9,1,False,0.5368
canonical_plus_nc,repeated_gkf,9,2,False,0.4738
canonical_plus_nc,repeated_gkf,9,3,False,0.5387
canonical_plus_nc,repeated_gkf,9,4,False,0.5842
canonical_plus_nc,bootstrap,0,,False,0.4944
canonical_plus_nc,bootstrap,1,,False,0.4952
canonical_plus_nc,bootstrap,2,,False,0.4677
canonical_plus_nc,bootstrap,3,,False,0.4798
canonical_plus_nc,bootstrap,4,,False,0.4821
canonical_plus_nc,bootstrap,5,,False,0.3900
canonical_plus_nc,bootstrap,6,,False,0.4456
canonical_plus_nc,bootstrap,7,,False,0.5617
canonical_plus_nc,bootstrap,8,,False,0.4409
canonical_plus_nc,bootstrap,9,,False,0.4688
canonical_plus_nc,bootstrap,10,,False,0.5423
canonical_plus_nc,bootstrap,11,,False,0.5841
canonical_plus_nc,bootstrap,12,,False,0.5070
canonical_plus_nc,bootstrap,13,,False,0.5154
canonical_plus_nc,bootstrap,14,,False,0.4597
canonical_plus_nc,bootstrap,15,,False,0.5308
canonical_plus_nc,bootstrap,16,,False,0.5451
canonical_plus_nc,bootstrap,17,,False,0.5336
canonical_plus_nc,bootstrap,18,,False,0.5097
canonical_plus_nc,bootstrap,19,,False,0.5426
canonical_plus_nc,bootstrap,20,,False,0.5203
canonical_plus_nc,bootstrap,21,,False,0.5594
canonical_plus_nc,bootstrap,22,,False,0.5070
canonical_plus_nc,bootstrap,23,,False,0.5353
canonical_plus_nc,bootstrap,24,,False,0.4375
canonical_plus_nc,bootstrap,25,,False,0.5388
canonical_plus_nc,bootstrap,26,,False,0.5526
canonical_plus_nc,bootstrap,27,,False,0.5197
canonical_plus_nc,bootstrap,28,,False,0.5662
canonical_plus_nc,bootstrap,29,,False,0.5027
canonical_plus_nc,bootstrap,30,,False,0.5531
canonical_plus_nc,bootstrap,31,,False,0.5434
canonical_plus_nc,bootstrap,32,,False,0.5112
canonical_plus_nc,bootstrap,33,,False,0.5020
canonical_plus_nc,bootstrap,34,,False,0.4885
canonical_plus_nc,bootstrap,35,,False,0.5225
canonical_plus_nc,bootstrap,36,,False,0.4557
canonical_plus_nc,bootstrap,37,,False,0.5578
canonical_plus_nc,bootstrap,38,,False,0.5031
canonical_plus_nc,bootstrap,39,,False,0.4892
canonical_plus_nc,bootstrap,40,,False,0.4569
canonical_plus_nc,bootstrap,41,,False,0.5364
canonical_plus_nc,bootstrap,42,,False,0.5280
canonical_plus_nc,bootstrap,43,,False,0.4624
canonical_plus_nc,bootstrap,44,,False,0.5495
canonical_plus_nc,bootstrap,45,,False,0.5627
canonical_plus_nc,bootstrap,46,,False,0.4927
canonical_plus_nc,bootstrap,47,,False,0.5454
canonical_plus_nc,bootstrap,48,,False,0.5361
canonical_plus_nc,bootstrap,49,,False,0.5387
canonical_plus_nc,bootstrap,50,,False,0.4684
canonical_plus_nc,bootstrap,51,,False,0.5149
canonical_plus_nc,bootstrap,52,,False,0.5241
canonical_plus_nc,bootstrap,53,,False,0.5508
canonical_plus_nc,bootstrap,54,,False,0.4711
canonical_plus_nc,bootstrap,55,,False,0.5327
canonical_plus_nc,bootstrap,56,,False,0.4988
canonical_plus_nc,bootstrap,57,,False,0.4829
canonical_plus_nc,bootstrap,58,,False,0.5476
canonical_plus_nc,bootstrap,59,,False,0.5158
canonical_plus_nc,bootstrap,60,,False,0.4984
canonical_plus_nc,bootstrap,61,,False,0.5320
canonical_plus_nc,bootstrap,62,,False,0.5001
canonical_plus_nc,bootstrap,63,,False,0.5047
canonical_plus_nc,bootstrap,64,,False,0.5669
canonical_plus_nc,bootstrap,65,,False,0.5775
canonical_plus_nc,bootstrap,66,,False,0.5984
canonical_plus_nc,bootstrap,67,,False,0.5345
canonical_plus_nc,bootstrap,68,,False,0.4965
canonical_plus_nc,bootstrap,69,,False,0.4885
canonical_plus_nc,bootstrap,70,,False,0.5356
canonical_plus_nc,bootstrap,71,,False,0.5646
canonical_plus_nc,bootstrap,72,,False,0.5015
canonical_plus_nc,bootstrap,73,,False,0.5038
canonical_plus_nc,bootstrap,74,,False,0.4901
canonical_plus_nc,bootstrap,75,,False,0.4800
canonical_plus_nc,bootstrap,76,,False,0.5161
canonical_plus_nc,bootstrap,77,,False,0.5778
canonical_plus_nc,bootstrap,78,,False,0.5489
