anchor_pct,basis_mode,basis_rank,basis_whiten,cv_auroc,cv_hit@1,cv_hit@3,cv_mrr,cv_n_valid_folds,cv_ndcg@3,cv_pairwise_acc,cv_selacc@10%,dataset_scope,domain,feature_family,group_filtering_logic,holdout_auroc,holdout_hit@1,holdout_hit@3,holdout_mrr,holdout_n_problems,holdout_n_samples,holdout_ndcg@3,holdout_pairwise_acc,holdout_selacc@10%,holdout_split,holdout_stop_acc,model__c_value,model__class_weight,model__colsample_bytree,model__learning_rate,model__loss,model__max_depth,model__min_child_weight,model__n_estimators,model__reg_lambda,model__subsample,model_name,objective,optimized_metric,pairing_logic,representation,split_seed,task_family,task_key,train_n_problems,train_n_samples
40,frozen_z,16,0,0.8759022651911902,0.7609756097560977,0.8758130081300813,0.8260207455250729,3,0.7782691949607954,0.8138528286262868,0.9768744058935361,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.8897372667903414,0.8333333333333334,0.8888888888888888,0.8678774928774928,18,1152,0.8383761609038154,0.8291755400060846,0.9913793103448276,0.15,0.8333333333333334,1.0,,,,,,,,,,pairwise_logistic_frozen_z,pairwise_logistic_diff,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_math_40,121,7744
40,raw_features,,,0.9147508757161681,0.7774390243902438,0.8760162601626016,0.8387213884298048,3,0.7762485041787769,0.8217446601185218,0.9820134268060836,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.934124398594332,0.7777777777777778,0.8333333333333334,0.8222860791826309,18,1152,0.8072622929987356,0.8399756616975966,0.9913793103448276,0.15,0.7777777777777778,0.2,,,,,,,,,,pointwise_logistic,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_math_40,121,7744
40,frozen_z,16,0,0.8851642960776029,0.7774390243902438,0.8841463414634146,0.8339216891254426,3,0.789209678730821,0.815283043052264,0.9807113434727502,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.9189893368324209,0.8333333333333334,0.8888888888888888,0.8697089947089947,18,1152,0.8383761609038154,0.8284149680559781,0.9913793103448276,0.15,0.8333333333333334,1.0,balanced,,,,,,,,,pointwise_logistic_frozen_z,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_math_40,121,7744
40,raw_features,,,0.7505899736669647,0.7601626016260162,0.8591463414634145,0.8206496881374123,3,0.7566334602143635,0.7688015170715145,0.9164735820659061,earlystop_math,math,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.7628500972806661,0.8333333333333334,0.8333333333333334,0.8516631835597354,18,1152,0.8333333333333334,0.808335868573167,0.9741379310344828,0.15,0.8333333333333334,,,0.8,0.05,,4,2.0,160,2.0,0.9,xgboost_rank_ndcg,rank:ndcg,cv_pairwise_acc,"within-problem query groups with relevance labels {0,1}; no cross-problem mixing",raw+rank,42,earlystop,earlystop_math_40,121,7744
40,raw_features,,,0.5847720459365232,0.5813008130081302,0.678861788617886,0.6594256201469807,3,0.5633702343527953,0.5625108930837769,0.6660317460317461,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6500045853680905,0.6,0.8,0.7057967032967033,35,2240,0.63878641311201,0.5759152573871028,0.90625,0.15,0.6,0.3,,,,squared_hinge,,,,,,pairwise_linear_svm,pairwise_linear_svm,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_science_40,246,15744
40,raw_features,,,0.5885177850357263,0.5853658536585367,0.678861788617886,0.6649384785776179,3,0.5680101589015284,0.5642261607451403,0.6666666666666666,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6438176137089404,0.6285714285714286,0.7714285714285715,0.7210606060606062,35,2240,0.6370309117418819,0.5705723843151831,0.8839285714285714,0.15,0.6285714285714286,0.3,,,,,,,,,,pairwise_logistic,pairwise_logistic_diff,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_science_40,246,15744
40,frozen_z,16,0,0.6229276696330021,0.5650406504065041,0.7113821138211381,0.6563090511541895,3,0.5667312229094746,0.5741256366395987,0.7619047619047619,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.6451465516394329,0.6285714285714286,0.7714285714285715,0.7176762283860912,35,2240,0.6472458962824633,0.5641609366288793,0.8794642857142857,0.15,0.6285714285714286,1.0,,,,,,,,,,pairwise_logistic_frozen_z,pairwise_logistic_diff,cv_pairwise_acc,within-problem positive-vs-negative pairs; mirrored diffs; no cross-problem pairs,raw+rank,42,earlystop,earlystop_science_40,246,15744
40,raw_features,,,0.6723942281329762,0.5528455284552846,0.6991869918699187,0.6478509288675367,3,0.5540038661876393,0.560973221346111,0.8590476190476192,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.755017702796092,0.6,0.7142857142857143,0.6879870259140445,35,2240,0.6454903949123352,0.5735922690949637,0.9732142857142857,0.15,0.6,0.2,,,,,,,,,,pointwise_logistic,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_science_40,246,15744
40,frozen_z,8,0,0.6089318254832919,0.5284552845528455,0.6707317073170732,0.6260690835734938,3,0.5518120739504795,0.567982155155672,0.7752380952380952,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.680640575922232,0.5142857142857142,0.7714285714285715,0.6715858675486004,35,2240,0.6137259872808378,0.5939881062999443,0.8616071428571429,0.15,0.5142857142857142,1.0,balanced,,,,,,,,,pointwise_logistic_frozen_z,pointwise_logistic,cv_pairwise_acc,pointwise labels only,raw+rank,42,earlystop,earlystop_science_40,246,15744
40,raw_features,,,0.5596612407870029,0.5365853658536586,0.7276422764227641,0.6483187128625513,3,0.5618102073768179,0.5607503533992548,0.6952380952380951,earlystop_science,science,token_plus_traj_fixed,drop within-problem groups that do not contain both positive and non-positive labels,0.577930787143938,0.6,0.7428571428571429,0.7008400329828901,35,2240,0.6,0.5574242705816763,0.8169642857142857,0.15,0.6,,,0.8,0.05,,4,2.0,160,2.0,0.9,xgboost_rank_ndcg,rank:ndcg,cv_pairwise_acc,"within-problem query groups with relevance labels {0,1}; no cross-problem mixing",raw+rank,42,earlystop,earlystop_science_40,246,15744
