stage,protocol,domain,condition,basis_scope,view_name,method,positive_mode,ssl_rank,label_fraction,pseudo_threshold,n_seeds,n_labeled_problems_mean,n_labeled_problems_std,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,earliest_gt_0_6_mean,earliest_gt_0_6_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std,n_pseudo_mean,n_pseudo_std,pseudo_precision_mean,pseudo_precision_std
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4.0,0.05,0.95,3,5.0,0.0,0.6740713488601339,0.009165026790131607,0.9450549450549451,0.012146047349149643,0.10000000000000002,1.3877787807814457e-17,0.6703167987239048,0.02820531496164287,0.7261904761904763,0.016835875742536838,591.0,397.33193512058233,0.8500687986747311,0.022825962370513146
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4.0,0.1,0.95,3,10.0,0.0,0.6894876682493335,0.016770546177619607,0.9481684981684982,0.008300563511812936,0.10000000000000002,1.3877787807814457e-17,0.6940568500130496,0.03635739094457987,0.7261904761904763,0.016835875742536838,584.0,113.71308924950841,0.7870174315296267,0.0501977555374828
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4.0,0.25,0.95,3,26.0,0.0,0.6950387835909044,0.006915579775204584,0.9351648351648351,0.012146047349149612,0.10000000000000002,1.3877787807814457e-17,0.7200540211276337,0.003335956041897682,0.7261904761904763,0.016835875742536838,35.333333333333336,37.3482113211448,0.8898971566848155,0.004839685420447659
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4.0,0.5,0.95,3,52.0,0.0,0.7030217358978899,0.0012520105635103606,0.9382783882783882,0.0024708310555369953,0.10000000000000002,1.3877787807814457e-17,0.7252422899757689,0.0006115653583262501,0.7142857142857143,0.0,6.0,4.898979485566356,0.9166666666666667,0.08333333333333331
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,4.0,1.0,0.95,3,104.0,0.0,0.7038249665297253,0.0,0.9357142857142856,1.1102230246251565e-16,0.10000000000000002,1.3877787807814457e-17,0.7255433525350706,0.0,0.7142857142857143,0.0,0.0,0.0,nan,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16.0,0.05,0.95,3,5.0,0.0,0.8681760075094648,0.01578105089520418,0.9857142857142858,0.009991341902553704,0.10000000000000002,1.3877787807814457e-17,0.9605911283672598,0.0068127761559829535,0.75,0.0291605921759902,1785.3333333333333,295.84943618146184,0.8656816116379975,0.00893665862923944
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16.0,0.1,0.95,3,10.0,0.0,0.8760034417232093,0.03460545696677307,0.9956043956043956,0.000897248990030465,0.10000000000000002,1.3877787807814457e-17,0.9652390208009803,0.007653108961353862,0.7261904761904763,0.016835875742536838,1650.3333333333333,130.5279876331339,0.9047312811733762,0.04832816129818803
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16.0,0.25,0.95,3,26.0,0.0,0.9256195556648624,0.003358383478545994,0.9968864468864469,0.0010360538918484177,0.10000000000000002,1.3877787807814457e-17,0.9663910196132889,0.00254652934491956,0.7142857142857144,0.0291605921759902,1377.6666666666667,102.13172322490642,0.9605865509761388,0.004811556001999244
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16.0,0.5,0.95,3,52.0,0.0,0.9341114170663646,0.0029653669673514117,0.9981684981684982,0.0011290135536573176,0.10000000000000002,1.3877787807814457e-17,0.9699067566271009,0.0013839697358404971,0.7142857142857143,0.0291605921759902,936.0,86.4060183089118,0.9661795198381359,0.012060392678662426
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_agreement,shared,token_pair,rrr,same_run,16.0,1.0,0.95,3,104.0,0.0,0.9377784305101348,0.0,0.9978021978021978,0.0,0.10000000000000002,1.3877787807814457e-17,0.9722466380949708,0.0,0.75,0.0,0.0,0.0,nan,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4.0,0.05,0.95,3,5.0,0.0,0.8495662664545639,0.008594695776198372,0.9921245421245422,0.0015755174481762997,0.10000000000000002,1.3877787807814457e-17,0.9012416050081425,0.01657494066918516,0.7619047619047619,0.016835875742536838,2175.6666666666665,135.79968908490017,0.8670555647144909,0.004441942929605098
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4.0,0.1,0.95,3,10.0,0.0,0.8643435541869912,0.01505719349387531,0.9950549450549451,0.0031403714651066276,0.10000000000000002,1.3877787807814457e-17,0.9310705812883326,0.0020424173856873782,0.7619047619047619,0.016835875742536838,1781.6666666666667,211.8558209936392,0.9181827016038616,0.014398378496468774
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4.0,0.25,0.95,3,26.0,0.0,0.8702791709736662,0.006401475481536664,0.9956043956043956,0.003108161675545253,0.10000000000000002,1.3877787807814457e-17,0.9344552069344795,0.0012594370202017103,0.75,0.0,1458.3333333333333,35.798820588890294,0.9314196797824095,0.009186465058041477
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4.0,0.5,0.95,3,52.0,0.0,0.8738013422933776,0.0006483470513322453,0.9976190476190476,0.0002590134729621044,0.10000000000000002,1.3877787807814457e-17,0.9351638268965287,0.00027570116892540323,0.75,0.0,910.3333333333334,98.00793618659438,0.9413355299157451,0.022410225107502808
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,4.0,1.0,0.95,3,104.0,0.0,0.8714145998191128,1.1102230246251565e-16,0.9961538461538462,0.0,0.10000000000000002,1.3877787807814457e-17,0.9358506918540025,1.1102230246251565e-16,0.75,0.0,0.0,0.0,nan,nan
ssl_semisup,85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42,math,frozen_ssl_pseudo,shared,adjacent_full,cca,same_run,16.0,0.05,0.95,3,5.0,0.0,0.8537697870879297,0.06507444815458385,0.9835164835164836,0.01523342771569839,0.10000000000000002,1.3877787807814457e-17,0.9483734820745746,0.02173789266946041,0.7619047619047619,0.016835875742536838,2561.3333333333335,145.73110702782557,0.8432596135781543,0.020479732484189998
