layer,condition_id,condition_label,domain,model_name,model_kind,rank,feature_count,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std,mean_anchor_cv_auroc_mean,mean_anchor_cv_auroc_std,inference_time_sec_mean,inference_time_sec_std,n_rows
noise,perm_high,L3 permutation high,coding,svd_r12,svd,12,90,0.44755359403246714,0.00020865716401420205,0.33708333333333335,0.001284252917285197,0.43206246023147427,0.0005018934617426858,0.5733333333333334,0.018856180831641232,0.5556288312493112,2.138458761515672e-05,0.1580535393053045,0.003604702180153878,3
noise,perm_high,L3 permutation high,coding,svd_r16,svd,16,90,0.44836973146832304,0.0005130875408633538,0.355625,0.004177070344950674,0.4342892371061385,0.0041975327119137444,0.48,0.03265986323710905,0.5563423016696801,0.00011132138300573824,0.1532217857117454,0.0019678199252193885,3
noise,perm_high,L3 permutation high,coding,svd_r24,svd,24,90,0.45209188307779863,0.00040117001624018325,0.3779166666666666,0.003280836614171579,0.4377083532013109,0.0018133658465489108,0.4133333333333334,0.018856180831641256,0.5557297470405564,0.0001894653491157272,0.15433075465261936,0.0014677760841033964,3
noise,perm_high,L3 permutation high,coding,svd_r4,svd,4,90,0.5186683426120046,1.1724321537100603e-05,0.480625,0.0008838834764832179,0.5079120149542685,3.1328376089633844e-05,0.44,0.0,0.5241000547431082,3.315702592189816e-06,0.1532561540758858,0.0009483861843778318,3
noise,perm_high,L3 permutation high,coding,svd_r8,svd,8,90,0.4471280414942387,0.00010089263738496083,0.3358333333333334,0.0007795119555779076,0.4328107990079821,0.0005331786644432623,0.5733333333333334,0.018856180831641232,0.5584300270472168,4.473318361627738e-05,0.15164496765161553,0.0007436340436621128,3
noise,perm_high,L3 permutation high,math,no_svd,no_svd,,90,0.9598663963961919,1.1102230246251565e-16,0.9989010989010989,0.0,0.9820080341365754,1.1102230246251565e-16,0.7142857142857143,0.0,0.9481695218030084,0.0,0.3527647216493885,0.05818626719895946,3
noise,perm_high,L3 permutation high,math,svd_r12,svd,12,90,0.9263533013435271,0.0005957820030755703,0.9950549450549451,0.000897248990030465,0.9537855057071226,0.0025156679450030047,0.75,0.0,0.8834476107541085,0.0003032673863534962,0.19945670066711804,0.003256081125121485,3
noise,perm_high,L3 permutation high,math,svd_r16,svd,16,90,0.9300895776849735,0.0005446146716697997,0.9954212454212454,0.0002590134729621044,0.959125929456286,0.0005756450366152778,0.75,0.0,0.8885163202296072,0.0003113572402192765,0.2011935259991636,0.005414405816675013,3
noise,perm_high,L3 permutation high,math,svd_r24,svd,24,90,0.934038932003786,0.0003180410978864073,0.9956043956043956,0.0004486244950152325,0.9602829981703865,0.00036473883593058,0.75,0.0,0.8933758445287759,0.0002770967760456883,0.20000445935875177,0.0019017590022499858,3
noise,perm_high,L3 permutation high,math,svd_r4,svd,4,90,0.8811662870094098,2.5178750033176773e-05,0.9851648351648352,0.0004486244950152325,0.9360017953396431,1.1686257930069596e-05,0.7142857142857143,0.0,0.8250366706720388,2.0273930382962483e-06,0.19875345627466837,0.002237798553495286,3
noise,perm_high,L3 permutation high,math,svd_r8,svd,8,90,0.9188556407876458,0.00020837891927892116,0.9930402930402931,0.0006852852356728805,0.9444101265894309,0.0006590071939306251,0.7738095238095237,0.016835875742536838,0.8735660468078814,0.00019486311298655545,0.19746032970336577,0.0024205623963124753,3
noise,perm_high,L3 permutation high,science,no_svd,no_svd,,90,0.8318116821417343,0.0,0.9796875000000002,1.1102230246251565e-16,0.8727587743743053,0.0,0.7166666666666665,1.1102230246251565e-16,0.7452392696104306,0.0,0.5458867289902022,0.18468934242507004,3
noise,perm_high,L3 permutation high,science,svd_r12,svd,12,90,0.8068696171082165,0.00010516264930191499,0.9854166666666666,0.0008505172717997115,0.853587292802958,0.00013282570744132177,0.75,0.0,0.7287037302292777,2.866754452715652e-05,0.3577921799539278,0.0025613344256798735,3
noise,perm_high,L3 permutation high,science,svd_r16,svd,16,90,0.8058851172567006,0.0004253299697115357,0.9861979166666667,0.0003682847818679202,0.8534189253329681,0.00011477846228830336,0.7277777777777777,0.007856742013183912,0.7291058351605791,0.00020923562671389565,0.3592667586635798,0.0038214034893366885,3
noise,perm_high,L3 permutation high,science,svd_r24,svd,24,90,0.8040040614043625,0.00018779765556987198,0.9863715277777777,0.0006495932963149329,0.85358194790285,0.00021910978680488927,0.7277777777777777,0.007856742013183886,0.7293965415452194,0.0002557042416183227,0.3607409046962857,0.002395203875214701,3
noise,perm_high,L3 permutation high,science,svd_r4,svd,4,90,0.8035451375930381,1.8124982454402553e-07,0.9742187499999999,0.0,0.8255321591718667,5.252808678177453e-07,0.6499999999999999,0.0,0.6482755573675415,1.6353616351099622e-08,0.35811601936196286,0.0025433311831578715,3
noise,perm_high,L3 permutation high,science,svd_r8,svd,8,90,0.808221067738966,8.078240921006542e-05,0.9849826388888889,0.0001227615939560432,0.8530266694314372,3.908366395840441e-05,0.6833333333333332,1.1102230246251565e-16,0.7279055033293979,9.880050811121144e-06,0.35775088930192095,0.0034413274352519123,3
noise,perm_low,L3 permutation low,coding,no_svd,no_svd,,45,0.5452614677966791,0.0,0.6993750000000002,1.1102230246251565e-16,0.5917650424692679,0.0,0.36000000000000004,5.551115123125783e-17,0.5721582528977015,0.0,0.09225435360955696,0.0004639256194331505,3
noise,perm_low,L3 permutation low,coding,svd_r12,svd,12,45,0.45140785140785145,0.00035347936365790557,0.3739583333333334,0.002618709393745119,0.43693500031528193,0.0013224598471380839,0.4266666666666667,0.018856180831641256,0.5479171429412063,5.391787631200208e-08,0.10201434697955847,0.0006486471571727451,3
noise,perm_low,L3 permutation low,coding,svd_r16,svd,16,45,0.4520089196145534,4.456000899531609e-05,0.3754166666666667,0.0002946278254943885,0.44051358135865176,0.0018598831911928783,0.44,0.0,0.5476772387764649,6.142013910675854e-08,0.10069085331633687,0.00010924792613495768,3
